bhk,type,locality,region,area,price,price_unit,status,age,price_in_inr,price_per_sqft
3,Apartment,Lak And Hanware The Residency Tower,Andheri West,685,2.5,Cr,Ready to move,New,25000000.0,36496.3503649635
2,Apartment,Radheya Sai Enclave Building No 2,Naigaon East,640,52.51,L,Under Construction,New,5251000.0,8204.6875
2,Apartment,Romell Serene,Borivali West,610,1.73,Cr,Under Construction,New,17300000.0,28360.655737704918
2,Apartment,Soundlines Codename Urban Rainforest,Panvel,876,59.98,L,Under Construction,New,5998000.0,6847.03196347032
2,Apartment,Origin Oriana,Mira Road East,659,94.11,L,Under Construction,New,9411000.0,14280.72837632777
2,Apartment,Bhoomi Simana Wing A Phase 1,Parel,826,3.3,Cr,Under Construction,New,33000000.0,39951.573849878936
5,Villa,Agami Estancia,Boisar,2921,1.99,Cr,Under Construction,New,19900000.0,6812.735364601164
3,Apartment,Sanghvi Infenia,Santacruz East,778,2.89,Cr,Under Construction,New,28900000.0,37146.529562982
1,Apartment,Shubh Shreeji Heights,Badlapur East,396,29.84,L,Ready to move,New,2984000.0,7535.353535353535
2,Apartment,Aplite Greenstone Heritage,Fort,671,2.72,Cr,Under Construction,New,27200000.000000004,40536.512667660216
1,Studio Apartment,A Plus Golden Corner,Badlapur West,502,16.56,L,Under Construction,New,1655999.9999999998,3298.8047808764936
2,Apartment,Unimont Imperia,Khopoli,950,41.75,L,Under Construction,New,4175000.0,4394.736842105263
3,Apartment,Aayush Gulmohar,Chembur,753,1.77,Cr,Under Construction,New,17700000.0,23505.97609561753
2,Apartment,Roswalt Zaiden,Jogeshwari West,605,1.55,Cr,Under Construction,New,15500000.0,25619.834710743802
1,Apartment,Angel Falcon Emerald Dunlin,Vasai,557,58.5,L,Under Construction,New,5850000.0,10502.692998204668
2,Apartment,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Kalamboli,635,83.0,L,Under Construction,New,8300000.0,13070.866141732284
1,Apartment,Godrej Urban Park,Powai,450,1.39,Cr,Under Construction,New,13899999.999999998,30888.888888888883
3,Apartment,Aurum Q Island R4 AND R5,Ghansoli,1259,2.8,Cr,Ready to move,New,28000000.0,22239.872915011914
2,Apartment,Raymond Raymond Realty TenX Habitat,Thane West,555,1.42,Cr,Under Construction,New,14200000.0,25585.585585585584
3,Apartment,Asshna Seabliss,Andheri West,1274,4.2,Cr,Under Construction,New,42000000.0,32967.03296703297
2,Apartment,Mayfair The View,Vikhroli,582,1.49,Cr,Under Construction,New,14900000.0,25601.374570446736
1,Apartment,Shakti Shree Siddhivinayak II,Bhiwandi,483,37.52,L,Under Construction,New,3752000.0000000005,7768.115942028987
1,Apartment,Vardhan Heights,Chembur,320,69.9,L,Under Construction,New,6990000.000000001,21843.750000000004
1,Apartment,Puraniks Unicorn Phase 1,Thane West,396,42.99,L,Under Construction,New,4299000.0,10856.060606060606
2,Apartment,Pyramid Elements,Airoli,638,1.26,Cr,Under Construction,New,12600000.0,19749.21630094044
2,Apartment,Tharwani Meghna Montana,Ambernath West,1047,49.58,L,Under Construction,New,4958000.0,4735.434574976122
2,Apartment,Dev Drashti Empire Phase 1,Bhiwandi,1080,57.24,L,Ready to move,New,5724000.0,5300.0
2,Apartment,B G Shirke Monte Verita West Tower,Borivali East,555,1.31,Cr,Under Construction,New,13100000.0,23603.603603603602
1,Apartment,Jindal Avenue,Panvel,261,47.5,L,Under Construction,New,4750000.0,18199.233716475097
2,Apartment,Walekar Homes,Ambernath West,594,34.5,L,Ready to move,New,3450000.0,5808.080808080808
1,Apartment,Sri Garden Avenue K,Virar,445,34.14,L,Under Construction,New,3414000.0,7671.91011235955
1,Apartment,Anant Residency,Panvel,409,32.0,L,Under Construction,New,3200000.0,7823.960880195599
4,Apartment,Ravechi Shreeji Divine,Kharghar,1874,2.7,Cr,Under Construction,New,27000000.0,14407.684098185699
1,Apartment,Shree ND Garden,Ulwe,450,54.99,L,Under Construction,New,5499000.0,12220.0
3,Apartment,Neelkanth Auris,Panvel,859,1.37,Cr,Under Construction,New,13700000.000000002,15948.777648428408
2,Apartment,Shree Krupa Nandanvan Homes Building B,Thane West,720,1.31,Cr,Under Construction,New,13100000.0,18194.444444444445
1,Apartment,Tajjodin Taj Regency,Kamothe,404,58.0,L,Under Construction,New,5800000.0,14356.435643564357
2,Apartment,Avant Heritage III,Jogeshwari East,604,1.44,Cr,Under Construction,New,14400000.0,23841.059602649006
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1116,2.85,Cr,Under Construction,New,28500000.0,25537.63440860215
1,Independent House,VBHC 47 Rowland Park,Palghar,701,30.99,L,Under Construction,New,3099000.0,4420.827389443652
3,Apartment,Sunteck City First Impression,Goregaon West,902,2.59,Cr,Under Construction,New,25900000.0,28713.968957871395
2,Apartment,Siddhivinayak Siddhivinayak Gaurav,Taloja,990,45.45,L,Under Construction,New,4545000.0,4590.909090909091
1,Apartment,A M Balaji Heights,Rasayani,313,27.56,L,Under Construction,New,2756000.0,8805.111821086262
1,Apartment,Sai Shrushti Vatika,Thane West,409,30.15,L,Under Construction,New,3015000.0,7371.638141809291
2,Apartment,Piramal S Class Homes,Mulund West,560,1.32,Cr,Under Construction,New,13200000.0,23571.428571428572
1,Apartment,Rishabraj Vicinia,Ghatkopar East,448,1.34,Cr,Under Construction,New,13400000.0,29910.714285714286
1,Apartment,Qualitas QN Greens Phase 1,Taloja,386,27.96,L,Ready to move,New,2796000.0,7243.5233160621765
2,Apartment,Precious Group Precious Meadows,Ulhasnagar,539,46.21,L,Under Construction,New,4621000.0,8573.283858998144
3,Apartment,Today Imperia,Ulwe,1625,1.45,Cr,Ready to move,New,14500000.0,8923.076923076924
3,Apartment,Lak And Hanware The Residency Tower,Andheri West,685,2.5,Cr,Ready to move,New,25000000.0,36496.3503649635
2,Apartment,Radheya Sai Enclave Building No 2,Naigaon East,640,52.51,L,Under Construction,New,5251000.0,8204.6875
2,Apartment,Romell Serene,Borivali West,610,1.73,Cr,Under Construction,New,17300000.0,28360.655737704918
2,Apartment,Soundlines Codename Urban Rainforest,Panvel,876,59.98,L,Under Construction,New,5998000.0,6847.03196347032
2,Apartment,Origin Oriana,Mira Road East,659,94.11,L,Under Construction,New,9411000.0,14280.72837632777
2,Apartment,Bhoomi Simana Wing A Phase 1,Parel,826,3.3,Cr,Under Construction,New,33000000.0,39951.573849878936
5,Villa,Agami Estancia,Boisar,2921,1.99,Cr,Under Construction,New,19900000.0,6812.735364601164
3,Apartment,Sanghvi Infenia,Santacruz East,778,2.89,Cr,Under Construction,New,28900000.0,37146.529562982
1,Apartment,Shubh Shreeji Heights,Badlapur East,396,29.84,L,Ready to move,New,2984000.0,7535.353535353535
2,Apartment,Aplite Greenstone Heritage,Fort,739,2.95,Cr,Under Construction,New,29500000.0,39918.809201623815
